Gene ,Gene Name,miRNA ,Target Score,Human
Rwdd3,RWD domain containing 3,miR-3470a,87,✓
Gramd1c,GRAM domain containing 1C,miR-3470a,87,✓
Ubxn7,UBX domain protein 7,miR-1291,87,✓
Rictor,"RPTOR independent companion of MTOR, complex 2",miR-1291,87,✓
Selenoi,selenoprotein I,miR-1291,87,✓
Styk1,serine/threonine/tyrosine kinase 1,miR-1291,87,✓
Bcl2l2,BCL2-like 2,miR-1291,87,✓
Htt,huntingtin,miR-1291,87,✓
Gbf1,golgi-specific brefeldin A-resistance factor 1,miR-1291,87,✓
Slc41a1,"solute carrier family 41, member 1",miR-3535,86,✓
Brdt,"bromodomain, testis-specific",miR-3535,86,✓
C5ar1,complement component 5a receptor 1,miR-3535,86,✓
Zyg11b,"zyg-ll family member B, cell cycle regulator",miR-3470b,86,✓
Ccdc125,coiled-coil domain containing 125,miR-3470b,86,✓
Pnoc,prepronociceptin,miR-3470b,86,✓
Dsc3,desmocollin 3,miR-3470b,86,✓
Zmym6,"zinc finger, MYM-type 6",miR-3470b,86,✓
Lmtk2,lemur tyrosine kinase 2,miR-3470b,86,✓
Rcc2,regulator of chromosome condensation 2,miR-3470a,86,✓
Plcl1,phospholipase C-like 1,miR-3470a,86,✓
Fbxo33,F-box protein 33,miR-3470a,86,✓
Atg16l2,autophagy related 16-like 2 (S. cerevisiae),miR-3470a,86,✓
Npr3,natriuretic peptide receptor 3,miR-3470a,86,✓
Tpgs2,tubulin polyglutamylase complex subunit 2,miR-1291,86,✓
Neurl4,neuralized E3 ubiquitin protein ligase 4,miR-1291,86,✓
Emp1,epithelial membrane protein 1,miR-1291,86,✓
H2bfm,"H2B histone family, member M",miR-1291,86,✓
Agrn,agrin,miR-1291,86,✓
Slc9a8,"solute carrier family 9 (sodium/hydrogen exchanger), member 8",miR-1291,86,✓
Zhx3,zinc fingers and homeoboxes 3,miR-1291,86,✓
Zfp1,zinc finger protein 1,miR-3535,85,✓
Gm6878,predicted gene 6878,miR-3535,85,
Rpl15,ribosomal protein L15,miR-3535,85,✓
Acer3,alkaline ceramidase 3,miR-3535,85,✓
Lce3e,late cornified envelope 3E,miR-3535,85,✓
Tmem132c,transmembrane protein 132C,miR-3535,85,✓
Fat3,FAT atypical cadherin 3,miR-3470b,85,✓
Gtf2a1,"general transcription factor II A, 1",miR-3470b,85,✓
Reep3,receptor accessory protein 3,miR-3470b,85,✓
Tceanc,transcription elongation factor A (SII) N-terminal and central domain containing,miR-3470b,85,✓
Mcoln2,mucolipin 2,miR-3470b,85,✓
Cggbp1,CGG triplet repeat binding protein 1,miR-3470b,85,✓
Bckdk,branched chain ketoacid dehydrogenase kinase,miR-3470b,85,✓
Slc17a2,"solute carrier family 17 (sodium phosphate), member 2",miR-3470b,85,✓
Csf2rb,"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)",miR-3470a,85,✓
Tmcc1,transmembrane and coiled coil domains 1,miR-3470a,85,✓
Ccdc90b,coiled-coil domain containing 90B,miR-3470a,85,✓
Heg1,heart development protein with EGF-like domains 1,miR-3470a,85,✓
Nedd4l,"neural precursor cell expressed, developmentally down-regulated gene 4-like",miR-3470a,85,✓
Erlin1,ER lipid raft associated 1,miR-3470a,85,✓
Foxc1,forkhead box C1,miR-1291,85,✓
Adipor2,adiponectin receptor 2,miR-1291,85,✓
Rnf152,ring finger protein 152,miR-1291,85,✓
Srp54b,signal recognition particle 54B,miR-1291,85,
Dach2,dachshund family transcription factor 2,miR-1291,85,✓
Ryr2,"ryanodine receptor 2, cardiac",miR-3535,84,✓
Gjb3,"gap junction protein, beta 3",miR-3535,84,✓
Zfp609,zinc finger protein 609,miR-3535,84,
Stmn1,stathmin 1,miR-3535,84,✓
Usp37,ubiquitin specific peptidase 37,miR-3470b,84,✓
Nemp1,nuclear envelope integral membrane protein 1,miR-3470b,84,✓
Ptdss1,phosphatidylserine synthase 1,miR-3470b,84,✓
Ppp2r3a,"protein phosphatase 2, regulatory subunit B'', alpha",miR-3470b,84,✓
Pwwp2a,PWWP domain containing 2A,miR-3470b,84,✓
Gemin8,gem nuclear organelle associated protein 8,miR-3470a,84,✓
Sytl5,synaptotagmin-like 5,miR-3470a,84,✓
Racgap1,Rac GTPase-activating protein 1,miR-3470a,84,✓
Kcne4,"potassium voltage-gated channel, Isk-related subfamily, gene 4",miR-3470a,84,✓
40057,septin 9,miR-3470a,84,✓
Atf2,activating transcription factor 2,miR-3470a,84,✓
Zfp825,zinc finger protein 825,miR-3470a,84,
Kremen2,kringle containing transmembrane protein 2,miR-3470a,84,✓
Trh,thyrotropin releasing hormone,miR-1291,84,✓
Cdh10,cadherin 10,miR-1291,84,✓
Rassf1,Ras association (RalGDS/AF-6) domain family member 1,miR-1291,84,✓
Zbtb5,zinc finger and BTB domain containing 5,miR-3535,83,✓
Bdnf,brain derived neurotrophic factor,miR-3535,83,✓
Mamdc2,MAM domain containing 2,miR-3535,83,✓
Bmt2,base methyltransferase of 25S rRNA 2,miR-3470b,83,✓
Smg1,"SMG1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)",miR-3470b,83,✓
Rreb1,ras responsive element binding protein 1,miR-3470b,83,✓
Vps54,VPS54 GARP complex subunit,miR-3470b,83,✓
Gp1bb,"glycoprotein Ib, beta polypeptide",miR-3470b,83,✓
Bicd1,BICD cargo adaptor 1,miR-3470b,83,✓
Zfyve26,"zinc finger, FYVE domain containing 26",miR-3470b,83,✓
Ptprt,"protein tyrosine phosphatase, receptor type, T",miR-3470a,83,✓
Snap25,synaptosomal-associated protein 25,miR-3470a,83,✓
Zfp704,zinc finger protein 704,miR-3470a,83,
Edil3,EGF-like repeats and discoidin I-like domains 3,miR-3470a,83,✓
Fign,fidgetin,miR-3470a,83,✓
Hnrnph2,heterogeneous nuclear ribonucleoprotein H2,miR-3470a,83,✓
Reep5,receptor accessory protein 5,miR-3470a,83,✓
Atl3,atlastin GTPase 3,miR-3470a,83,✓
Lbr,lamin B receptor,miR-1291,83,✓
Anp32a,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A",miR-1291,83,✓
Kmt5b,lysine methyltransferase 5B,miR-1291,83,✓
Kcnj16,"potassium inwardly-rectifying channel, subfamily J, member 16",miR-1291,83,✓
Kcnab1,"potassium voltage-gated channel, shaker-related subfamily, beta member 1",miR-3535,82,✓
Peli2,pellino 2,miR-3535,82,✓
Epas1,endothelial PAS domain protein 1,miR-3535,82,✓
Pira6,paired-Ig-like receptor A6,miR-3535,82,
Tppp,tubulin polymerization promoting protein,miR-3470b,82,✓
Mblac2,metallo-beta-lactamase domain containing 2,miR-3470b,82,✓
Gpr155,G protein-coupled receptor 155,miR-3470b,82,✓
Cdh3,cadherin 3,miR-3470b,82,✓
Adrb3,"adrenergic receptor, beta 3",miR-3470b,82,✓
Fhdc1,FH2 domain containing 1,miR-3470b,82,✓
Itgb7,integrin beta 7,miR-3470b,82,✓
Mkx,mohawk homeobox,miR-3470b,82,✓
Slitrk2,"SLIT and NTRK-like family, member 2",miR-3470b,82,✓
Ppp2r5d,"protein phosphatase 2, regulatory subunit B', delta",miR-3470b,82,✓
Kbtbd2,kelch repeat and BTB (POZ) domain containing 2,miR-3470b,82,✓
Lin54,lin-54 homolog (C. elegans),miR-3470a,82,✓
Chd7,chromodomain helicase DNA binding protein 7,miR-3470a,82,✓
Tent5a,terminal nucleotidyltransferase 5A,miR-3470a,82,✓
Ntrk2,"neurotrophic tyrosine kinase, receptor, type 2",miR-3470a,82,✓
Oaz1,ornithine decarboxylase antizyme 1,miR-3470a,82,✓
Nceh1,neutral cholesterol ester hydrolase 1,miR-3470a,82,✓
Smco4,single-pass membrane protein with coiled-coil domains 4,miR-3470a,82,✓
Myo1e,myosin IE,miR-3470a,82,✓
Cggbp1,CGG triplet repeat binding protein 1,miR-3470a,82,✓
Rfx7,"regulatory factor X, 7",miR-3470a,82,✓
Pof1b,premature ovarian failure 1B,miR-3470a,82,✓
Dyrk1a,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1a,miR-1291,82,✓
Pkdcc,"protein kinase domain containing, cytoplasmic",miR-1291,82,✓
Cacna1d,"calcium channel, voltage-dependent, L type, alpha 1D subunit",miR-1291,82,✓
Clock,circadian locomotor output cycles kaput,miR-1291,82,✓
Fnip1,folliculin interacting protein 1,miR-3535,81,✓
Bcor,BCL6 interacting corepressor,miR-3535,81,✓
Arhgap32,Rho GTPase activating protein 32,miR-3470b,81,✓
Sugt1,"SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)",miR-3470b,81,✓
Ctsc,cathepsin C,miR-3470b,81,✓
Diras2,"DIRAS family, GTP-binding RAS-like 2",miR-3470b,81,✓
Zfp867,zinc finger protein 867,miR-3470b,81,
Cenpa,centromere protein A,miR-3470b,81,✓
Pamr1,peptidase domain containing associated with muscle regeneration 1,miR-3470b,81,✓
Homez,homeodomain leucine zipper-encoding gene,miR-3470b,81,✓
Arih1,ariadne RBR E3 ubiquitin protein ligase 1,miR-3470b,81,✓
Gpbp1l1,GC-rich promoter binding protein 1-like 1,miR-3470a,81,✓
Sar1a,secretion associated Ras related GTPase 1A,miR-3470a,81,✓
Slc12a6,"solute carrier family 12, member 6",miR-3470a,81,✓
Sspn,sarcospan,miR-3470a,81,✓
Dnajc18,DnaJ heat shock protein family (Hsp40) member C18,miR-3470a,81,✓
Ccn1,cellular communication network factor 1,miR-3470a,81,✓
Pdcd1lg2,programmed cell death 1 ligand 2,miR-3470a,81,✓
Fam213a,"family with sequence similarity 213, member A",miR-3470a,81,✓
Adcy7,adenylate cyclase 7,miR-3470a,81,✓
Zfp512b,zinc finger protein 512B,miR-3470a,81,
Prkar2a,"protein kinase, cAMP dependent regulatory, type II alpha",miR-3470a,81,✓
Ccdc88a,coiled coil domain containing 88A,miR-3470a,81,✓
Ncapg2,"non-SMC condensin II complex, subunit G2",miR-3470a,81,✓
Clec1a,"C-type lectin domain family 1, member a",miR-3470a,81,✓
Adgrf1,adhesion G protein-coupled receptor F1,miR-3470a,81,✓
Paics,"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoribosylaminoimidazole, succinocarboxamide synthetase",miR-3470a,81,✓
Pde4d,"phosphodiesterase 4D, cAMP specific",miR-3470a,81,✓
Mia3,melanoma inhibitory activity 3,miR-1291,81,✓
Elovl6,"ELOVL family member 6, elongation of long chain fatty acids (yeast)",miR-1291,81,✓
Inpp4b,"inositol polyphosphate-4-phosphatase, type II",miR-1291,81,✓
Parp14,"poly (ADP-ribose) polymerase family, member 14",miR-1291,81,✓
H2-Q10,"histocompatibility 2, Q region locus 10",miR-3535,80,
Slco2a1,"solute carrier organic anion transporter family, member 2a1",miR-3535,80,✓
Tspan5,tetraspanin 5,miR-3470b,80,✓
Ggh,gamma-glutamyl hydrolase,miR-3470b,80,✓
Aph1b,"aph1 homolog B, gamma secretase subunit",miR-3470a,80,✓
Lamc2,"laminin, gamma 2",miR-3470a,80,✓
Capza1,"capping protein (actin filament) muscle Z-line, alpha 1",miR-3470a,80,✓
Bbx,bobby sox HMG box containing,miR-3470a,80,✓
Pcdhb10,protocadherin beta 10,miR-3470a,80,✓
Trip12,thyroid hormone receptor interactor 12,miR-3470a,80,✓
Sos1,SOS Ras/Rac guanine nucleotide exchange factor 1,miR-3470a,80,✓
Samd8,sterile alpha motif domain containing 8,miR-3470a,80,✓
Nub1,negative regulator of ubiquitin-like proteins 1,miR-3470a,80,✓
Pwwp2a,PWWP domain containing 2A,miR-3470a,80,✓
Nras,neuroblastoma ras oncogene,miR-3470a,80,✓
Pbld2,phenazine biosynthesis-like protein domain containing 2,miR-3470a,80,
Slc4a7,"solute carrier family 4, sodium bicarbonate cotransporter, member 7",miR-3470a,80,✓
Cyp2j13,"cytochrome P450, family 2, subfamily j, polypeptide 13",miR-3470a,80,
Cyp24a1,"cytochrome P450, family 24, subfamily a, polypeptide 1",miR-3470a,80,✓
Ikbip,IKBKB interacting protein,miR-3470a,80,✓
Zfp609,zinc finger protein 609,miR-3470a,80,
Rdx,radixin,miR-3470a,80,✓
Sertad2,SERTA domain containing 2,miR-1291,80,✓
Mtmr2,myotubularin related protein 2,miR-1291,80,✓
Map2k6,mitogen-activated protein kinase kinase 6,miR-1291,80,✓
Cyp4a12a,"cytochrome P450, family 4, subfamily a, polypeptide 12a",miR-1291,80,
Gcsam,"germinal center associated, signaling and motility",miR-1291,80,✓
Atxn1l,ataxin 1-like,miR-1291,80,✓
Cyp4a12b,"cytochrome P450, family 4, subfamily a, polypeptide 12B",miR-1291,80,
Mkx,mohawk homeobox,miR-1291,80,✓
Plcxd1,"phosphatidylinositol-specific phospholipase C, X domain containing 1",miR-1291,80,✓
Jarid2,"jumonji, AT rich interactive domain 2",miR-1291,80,✓
Fmo1,flavin containing monooxygenase 1,miR-3535,79,✓
Scd1,stearoyl-Coenzyme A desaturase 1,miR-3470b,79,✓
Fsd1l,fibronectin type III and SPRY domain containing 1-like,miR-3470b,79,✓
Tmed8,transmembrane p24 trafficking protein 8,miR-3470b,79,✓
H2-Eb2,"histocompatibility 2, class II antigen E beta2",miR-3470b,79,
Spock1,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 1",miR-3470b,79,✓
Gm648,predicted gene 648,miR-3470b,79,
Pld1,phospholipase D1,miR-3470b,79,✓
Brinp2,bone morphogenic protein/retinoic acid inducible neural-specific 2,miR-3470a,79,✓
Exoc5,exocyst complex component 5,miR-3470a,79,✓
Gng2,"guanine nucleotide binding protein (G protein), gamma 2",miR-3470a,79,✓
Fam163b,"family with sequence similarity 163, member B",miR-3470a,79,✓
Rfx3,"regulatory factor X, 3 (influences HLA class II expression)",miR-3470a,79,✓
Ackr4,atypical chemokine receptor 4,miR-3470a,79,✓
Eif4g2,"eukaryotic translation initiation factor 4, gamma 2",miR-3470a,79,✓
Arrdc4,arrestin domain containing 4,miR-3470a,79,✓
Atrx,"ATRX, chromatin remodeler",miR-3470a,79,✓
Mblac2,metallo-beta-lactamase domain containing 2,miR-1291,79,✓
Abraxas2,BRISC complex subunit,miR-1291,79,✓
Kcna6,"potassium voltage-gated channel, shaker-related, subfamily, member 6",miR-1291,79,✓
Padi6,"peptidyl arginine deiminase, type VI",miR-1291,79,✓
Ccdc88a,coiled coil domain containing 88A,miR-1291,79,✓
Il17rd,interleukin 17 receptor D,miR-1291,79,✓
Sri,sorcin,miR-1291,79,✓
Zfp809,zinc finger protein 809,miR-1291,79,
Ubn1,ubinuclein 1,miR-1291,79,✓
Phldb1,"pleckstrin homology like domain, family B, member 1",miR-1291,79,✓
Ptprt,"protein tyrosine phosphatase, receptor type, T",miR-3535,78,✓
Cisd1,CDGSH iron sulfur domain 1,miR-3535,78,✓
Epb42,erythrocyte membrane protein band 4.2,miR-3535,78,✓
Rbbp7,"retinoblastoma binding protein 7, chromatin remodeling factor",miR-3535,78,✓
Numb,NUMB endocytic adaptor protein,miR-3535,78,✓
1110012L19Rik,RIKEN cDNA 1110012L19 gene,miR-3470b,78,
Xrcc5,X-ray repair complementing defective repair in Chinese hamster cells 5,miR-3470b,78,✓
Taf1a,"TATA-box binding protein associated factor, RNA polymerase I, A",miR-3470b,78,✓
Map7,microtubule-associated protein 7,miR-3470b,78,✓
Eya4,EYA transcriptional coactivator and phosphatase 4,miR-3470b,78,✓
Smad5,SMAD family member 5,miR-3470b,78,✓
Tspan2,tetraspanin 2,miR-3470a,78,✓
Fsd1l,fibronectin type III and SPRY domain containing 1-like,miR-3470a,78,✓
Hnrnpa3,heterogeneous nuclear ribonucleoprotein A3,miR-3470a,78,✓
Haus2,"HAUS augmin-like complex, subunit 2",miR-3470a,78,✓
1810013L24Rik,RIKEN cDNA 1810013L24 gene,miR-3470a,78,
Xrn1,5'-3' exoribonuclease 1,miR-3470a,78,✓
Wnt9b,"wingless-type MMTV integration site family, member 9B",miR-3470a,78,✓
Pbld1,phenazine biosynthesis-like protein domain containing 1,miR-3470a,78,
Rbm47,RNA binding motif protein 47,miR-3470a,78,✓
Fam102b,"family with sequence similarity 102, member B",miR-3470a,78,✓
Fam81a,"family with sequence similarity 81, member A",miR-3470a,78,✓
Uty,"ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome",miR-3470a,78,✓
